sample_no,docid,sentence1,sentence2,location1,location2,event1,event2,sent1_id,sent2_id,same_sent,predicted
101,2003-02-23-0086,"Nous ne mettions plus rien à l'étage car les planchers sont trop vieux » , [ détaille ] - t - il .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire [ brûlait ] : « Je suis passée à midi devant en rentrant de la pharmacie .",15,25,détaille,brûlait,24,25,0,VAGUE
102,2003-02-23-0086,"Nous ne mettions plus rien à l'étage car les planchers sont trop vieux » , [ détaille ] - t - il .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis [ passée ] à midi devant en rentrant de la pharmacie .",15,30,détaille,passée,24,25,0,BEFORE
103,2003-02-23-0086,"Nous ne mettions plus rien à l'étage car les planchers sont trop vieux » , [ détaille ] - t - il .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en [ rentrant ] de la pharmacie .",15,35,détaille,rentrant,24,25,0,BEFORE
104,2003-02-23-0086,"[ Avertie ] par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est [ précipitée ] en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .",0,10,Avertie,précipitée,25,25,1,BEFORE
105,2003-02-23-0086,"[ Avertie ] par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a [ su ] que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .",0,20,Avertie,su,25,25,1,AFTER
106,2003-02-23-0086,"[ Avertie ] par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire [ brûlait ] : « Je suis passée à midi devant en rentrant de la pharmacie .",0,25,Avertie,brûlait,25,25,1,BEFORE
107,2003-02-23-0086,"[ Avertie ] par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis [ passée ] à midi devant en rentrant de la pharmacie .",0,30,Avertie,passée,25,25,1,BEFORE
108,2003-02-23-0086,"[ Avertie ] par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en [ rentrant ] de la pharmacie .",0,35,Avertie,rentrant,25,25,1,BEFORE
109,2003-02-23-0086,"[ Avertie ] par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Il n ' y avait rien d'anormal » , [ explique ] cette habitante du quartier , bénévole au « Secours pop » depuis douze ans .",0,9,Avertie,explique,25,26,0,VAGUE
110,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est [ précipitée ] en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a [ su ] que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .",10,20,précipitée,su,25,25,1,BEFORE
111,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est [ précipitée ] en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire [ brûlait ] : « Je suis passée à midi devant en rentrant de la pharmacie .",10,25,précipitée,brûlait,25,25,1,VAGUE
112,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est [ précipitée ] en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis [ passée ] à midi devant en rentrant de la pharmacie .",10,30,précipitée,passée,25,25,1,BEFORE
113,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est [ précipitée ] en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en [ rentrant ] de la pharmacie .",10,35,précipitée,rentrant,25,25,1,BEFORE
114,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est [ précipitée ] en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Il n ' y avait rien d'anormal » , [ explique ] cette habitante du quartier , bénévole au « Secours pop » depuis douze ans .",10,9,précipitée,explique,25,26,0,BEFORE
115,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a [ su ] que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire [ brûlait ] : « Je suis passée à midi devant en rentrant de la pharmacie .",20,25,su,brûlait,25,25,1,AFTER
116,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a [ su ] que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis [ passée ] à midi devant en rentrant de la pharmacie .",20,30,su,passée,25,25,1,BEFORE
117,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a [ su ] que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en [ rentrant ] de la pharmacie .",20,35,su,rentrant,25,25,1,AFTER
118,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a [ su ] que le Secours populaire brûlait : « Je suis passée à midi devant en rentrant de la pharmacie .","Il n ' y avait rien d'anormal » , [ explique ] cette habitante du quartier , bénévole au « Secours pop » depuis douze ans .",20,9,su,explique,25,26,0,BEFORE
119,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire [ brûlait ] : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis [ passée ] à midi devant en rentrant de la pharmacie .",25,30,brûlait,passée,25,25,1,AFTER
120,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire [ brûlait ] : « Je suis passée à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en [ rentrant ] de la pharmacie .",25,35,brûlait,rentrant,25,25,1,BEFORE
121,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire [ brûlait ] : « Je suis passée à midi devant en rentrant de la pharmacie .","Il n ' y avait rien d'anormal » , [ explique ] cette habitante du quartier , bénévole au « Secours pop » depuis douze ans .",25,9,brûlait,explique,25,26,0,BEFORE
122,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis [ passée ] à midi devant en rentrant de la pharmacie .","Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en [ rentrant ] de la pharmacie .",30,35,passée,rentrant,25,25,1,BEFORE
123,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis [ passée ] à midi devant en rentrant de la pharmacie .","Il n ' y avait rien d'anormal » , [ explique ] cette habitante du quartier , bénévole au « Secours pop » depuis douze ans .",30,9,passée,explique,25,26,0,VAGUE
124,2003-02-23-0086,"Avertie par des voisines , Juliette Carpezat s ' est précipitée en chaussons dans la rue lorsqu ' elle a su que le Secours populaire brûlait : « Je suis passée à midi devant en [ rentrant ] de la pharmacie .","Il n ' y avait rien d'anormal » , [ explique ] cette habitante du quartier , bénévole au « Secours pop » depuis douze ans .",35,9,rentrant,explique,25,26,0,BEFORE
125,2003-02-23-0086,"Si on laisse cela en l'état , ils vont être pillés » , [ soupirait ] - elle alors que les pompiers engageaient les premières opérations de ventilation , d'étayage et de déblais .","Si on laisse cela en l'état , ils vont être pillés » , soupirait - elle alors que les pompiers [ engageaient ] les premières opérations de ventilation , d'étayage et de déblais .",13,20,soupirait,engageaient,28,28,1,AFTER
126,2003-02-23-0086,"Si on laisse cela en l'état , ils vont être pillés » , [ soupirait ] - elle alors que les pompiers engageaient les premières opérations de ventilation , d'étayage et de déblais .",Tournoi de boules [ annulé ] .,13,3,soupirait,annulé,28,29,0,BEFORE
127,2003-02-23-0086,"Si on laisse cela en l'état , ils vont être pillés » , soupirait - elle alors que les pompiers [ engageaient ] les premières opérations de ventilation , d'étayage et de déblais .",Tournoi de boules [ annulé ] .,20,3,engageaient,annulé,28,29,0,EQUAL
128,2003-02-23-0086,Tournoi de boules [ annulé ] .,L' intervention des sapeurs - pompiers s ' est [ déroulée ] sous les yeux d'un public nombreux .,3,9,annulé,déroulée,29,30,0,BEFORE
129,2003-02-23-0086,L' intervention des sapeurs - pompiers s ' est [ déroulée ] sous les yeux d'un public nombreux .,"Et pour cause : la fumée a [ recouvert ] le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .",9,7,déroulée,recouvert,30,31,0,BEFORE
130,2003-02-23-0086,L' intervention des sapeurs - pompiers s ' est [ déroulée ] sous les yeux d'un public nombreux .,"Et pour cause : la fumée a recouvert le quartier , [ faisant ] sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .",9,11,déroulée,faisant,30,31,0,BEFORE
131,2003-02-23-0086,L' intervention des sapeurs - pompiers s ' est [ déroulée ] sous les yeux d'un public nombreux .,"Et pour cause : la fumée a recouvert le quartier , faisant [ sortir ] les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .",9,12,déroulée,sortir,30,31,0,BEFORE
132,2003-02-23-0086,L' intervention des sapeurs - pompiers s ' est [ déroulée ] sous les yeux d'un public nombreux .,"Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a [ interrompu ] le concours de pétanque organisée par l'association des Portugais de Belfort .",9,20,déroulée,interrompu,30,31,0,BEFORE
133,2003-02-23-0086,L' intervention des sapeurs - pompiers s ' est [ déroulée ] sous les yeux d'un public nombreux .,"Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque [ organisée ] par l'association des Portugais de Belfort .",9,25,déroulée,organisée,30,31,0,VAGUE
134,2003-02-23-0086,"Et pour cause : la fumée a [ recouvert ] le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , [ faisant ] sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .",7,11,recouvert,faisant,31,31,1,BEFORE
135,2003-02-23-0086,"Et pour cause : la fumée a [ recouvert ] le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant [ sortir ] les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .",7,12,recouvert,sortir,31,31,1,AFTER
136,2003-02-23-0086,"Et pour cause : la fumée a [ recouvert ] le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a [ interrompu ] le concours de pétanque organisée par l'association des Portugais de Belfort .",7,20,recouvert,interrompu,31,31,1,BEFORE
137,2003-02-23-0086,"Et pour cause : la fumée a [ recouvert ] le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque [ organisée ] par l'association des Portugais de Belfort .",7,25,recouvert,organisée,31,31,1,VAGUE
138,2003-02-23-0086,"Et pour cause : la fumée a [ recouvert ] le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Le boulodrome , en effet , est [ installé ] dans le même corps de bâtiment que le Secours populaire .",7,7,recouvert,installé,31,32,0,BEFORE
139,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , [ faisant ] sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant [ sortir ] les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .",11,12,faisant,sortir,31,31,1,EQUAL
140,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , [ faisant ] sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a [ interrompu ] le concours de pétanque organisée par l'association des Portugais de Belfort .",11,20,faisant,interrompu,31,31,1,BEFORE
141,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , [ faisant ] sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque [ organisée ] par l'association des Portugais de Belfort .",11,25,faisant,organisée,31,31,1,AFTER
142,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , [ faisant ] sortir les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Le boulodrome , en effet , est [ installé ] dans le même corps de bâtiment que le Secours populaire .",11,7,faisant,installé,31,32,0,BEFORE
143,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , faisant [ sortir ] les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a [ interrompu ] le concours de pétanque organisée par l'association des Portugais de Belfort .",12,20,sortir,interrompu,31,31,1,EQUAL
144,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , faisant [ sortir ] les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque [ organisée ] par l'association des Portugais de Belfort .",12,25,sortir,organisée,31,31,1,BEFORE
145,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , faisant [ sortir ] les curieux , et le sinistre a interrompu le concours de pétanque organisée par l'association des Portugais de Belfort .","Le boulodrome , en effet , est [ installé ] dans le même corps de bâtiment que le Secours populaire .",12,7,sortir,installé,31,32,0,AFTER
146,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a [ interrompu ] le concours de pétanque organisée par l'association des Portugais de Belfort .","Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque [ organisée ] par l'association des Portugais de Belfort .",20,25,interrompu,organisée,31,31,1,BEFORE
147,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a [ interrompu ] le concours de pétanque organisée par l'association des Portugais de Belfort .","Le boulodrome , en effet , est [ installé ] dans le même corps de bâtiment que le Secours populaire .",20,7,interrompu,installé,31,32,0,VAGUE
148,2003-02-23-0086,"Et pour cause : la fumée a recouvert le quartier , faisant sortir les curieux , et le sinistre a interrompu le concours de pétanque [ organisée ] par l'association des Portugais de Belfort .","Le boulodrome , en effet , est [ installé ] dans le même corps de bâtiment que le Secours populaire .",25,7,organisée,installé,31,32,0,BEFORE
149,2003-02-23-0086,"A l'heure du sinistre , près une centaine de personnes se [ trouvait ] dans le boulodrome ou trente triplettes engageaient leur troisième partie .","A l'heure du sinistre , près une centaine de personnes se trouvait dans le boulodrome ou trente triplettes [ engageaient ] leur troisième partie .",11,18,trouvait,engageaient,34,34,1,AFTER
150,2003-02-23-0086,"A l'heure du sinistre , près une centaine de personnes se [ trouvait ] dans le boulodrome ou trente triplettes engageaient leur troisième partie .",Les consignes de sécurité ont [ eu ] raison de la compétition : elle a été annulée .,11,5,trouvait,eu,34,35,0,BEFORE
151,2003-02-23-0086,"A l'heure du sinistre , près une centaine de personnes se [ trouvait ] dans le boulodrome ou trente triplettes engageaient leur troisième partie .",Les consignes de sécurité ont eu raison de la compétition : elle a été [ annulée ] .,11,14,trouvait,annulée,34,35,0,BEFORE
152,2003-02-23-0086,"A l'heure du sinistre , près une centaine de personnes se trouvait dans le boulodrome ou trente triplettes [ engageaient ] leur troisième partie .",Les consignes de sécurité ont [ eu ] raison de la compétition : elle a été annulée .,18,5,engageaient,eu,34,35,0,BEFORE
153,2003-02-23-0086,"A l'heure du sinistre , près une centaine de personnes se trouvait dans le boulodrome ou trente triplettes [ engageaient ] leur troisième partie .",Les consignes de sécurité ont eu raison de la compétition : elle a été [ annulée ] .,18,14,engageaient,annulée,34,35,0,BEFORE
154,2003-02-23-0086,Les consignes de sécurité ont [ eu ] raison de la compétition : elle a été annulée .,Les consignes de sécurité ont eu raison de la compétition : elle a été [ annulée ] .,5,14,eu,annulée,35,35,1,BEFORE
155,2003-02-23-0086,Les consignes de sécurité ont [ eu ] raison de la compétition : elle a été annulée .,"Hier soir , les services techniques de la Ville [ engageaient ] des travaux pour fermer le local tandis que les pompiers s ' organisaient pour effectuer des rondes pendant la nuit afin de déceler toute reprise de feu .",5,9,eu,engageaient,35,36,0,AFTER
156,2003-02-23-0086,Les consignes de sécurité ont [ eu ] raison de la compétition : elle a été annulée .,"Hier soir , les services techniques de la Ville engageaient des travaux pour fermer le local tandis que les pompiers s ' [ organisaient ] pour effectuer des rondes pendant la nuit afin de déceler toute reprise de feu .",5,22,eu,organisaient,35,36,0,BEFORE
157,2003-02-23-0086,Les consignes de sécurité ont eu raison de la compétition : elle a été [ annulée ] .,"Hier soir , les services techniques de la Ville [ engageaient ] des travaux pour fermer le local tandis que les pompiers s ' organisaient pour effectuer des rondes pendant la nuit afin de déceler toute reprise de feu .",14,9,annulée,engageaient,35,36,0,BEFORE
158,2003-02-23-0086,Les consignes de sécurité ont eu raison de la compétition : elle a été [ annulée ] .,"Hier soir , les services techniques de la Ville engageaient des travaux pour fermer le local tandis que les pompiers s ' [ organisaient ] pour effectuer des rondes pendant la nuit afin de déceler toute reprise de feu .",14,22,annulée,organisaient,35,36,0,BEFORE
159,2003-02-23-0086,"Hier soir , les services techniques de la Ville [ engageaient ] des travaux pour fermer le local tandis que les pompiers s ' organisaient pour effectuer des rondes pendant la nuit afin de déceler toute reprise de feu .","Hier soir , les services techniques de la Ville engageaient des travaux pour fermer le local tandis que les pompiers s ' [ organisaient ] pour effectuer des rondes pendant la nuit afin de déceler toute reprise de feu .",9,22,engageaient,organisaient,36,36,1,AFTER
160,1999-06-12-0548d,"L'Union nationale des associations de parents et amis de personnes handicapées mentales ( UNAPEI ) a [ dénoncé ] hier le « scandale » des quelques 10 à 15.000 enfants handicapés mentaux , selon son estimation , qui sont obligés de rester chez eux faute de scolarisation .","L'Union nationale des associations de parents et amis de personnes handicapées mentales ( UNAPEI ) a dénoncé hier le « scandale » des quelques 10 à 15.000 enfants handicapés mentaux , selon son estimation , qui sont [ obligés ] de rester chez eux faute de scolarisation .",16,37,dénoncé,obligés,0,0,1,BEFORE
161,1999-06-12-0548d,"L'Union nationale des associations de parents et amis de personnes handicapées mentales ( UNAPEI ) a [ dénoncé ] hier le « scandale » des quelques 10 à 15.000 enfants handicapés mentaux , selon son estimation , qui sont obligés de rester chez eux faute de scolarisation .","Pour l'UNAPEI , les 20 mesures [ annoncées ] par la ministre de l'Education Nationale Ségolène Royal dans son plan d'intégration des handicapés à l'école « sont toutes acceptables mais insuffisantes , notamment faute de moyens » .",16,6,dénoncé,annoncées,0,1,0,BEFORE
162,1999-06-12-0548d,"L'Union nationale des associations de parents et amis de personnes handicapées mentales ( UNAPEI ) a dénoncé hier le « scandale » des quelques 10 à 15.000 enfants handicapés mentaux , selon son estimation , qui sont [ obligés ] de rester chez eux faute de scolarisation .","Pour l'UNAPEI , les 20 mesures [ annoncées ] par la ministre de l'Education Nationale Ségolène Royal dans son plan d'intégration des handicapés à l'école « sont toutes acceptables mais insuffisantes , notamment faute de moyens » .",37,6,obligés,annoncées,0,1,0,BEFORE
163,1999-06-12-0548d,"Pour l'UNAPEI , les 20 mesures [ annoncées ] par la ministre de l'Education Nationale Ségolène Royal dans son plan d'intégration des handicapés à l'école « sont toutes acceptables mais insuffisantes , notamment faute de moyens » .","Pour l'UNAPEI , il [ manque ] 250 postes d'instituteurs spécialisés .",6,4,annoncées,manque,1,2,0,BEFORE
164,2002-03-27-0154,L'avantage du Premier ministre dans les sondages est si fragile qu'il [ rend ] tout pronostic impossible .,Lionel Jospin a cependant [ traité ] le sujet sensible de l'insécurité hier soir au meeting de Tours .,11,4,rend,traité,0,1,0,BEFORE
165,1999-05-22-0101,"Les faits qui lui sont [ reprochés ] ont eu lieu le 27 mai 1998 , dans les bois à proximité du fort Dorsner .","Les faits qui lui sont reprochés ont [ eu ] lieu le 27 mai 1998 , dans les bois à proximité du fort Dorsner .",5,7,reprochés,eu,0,0,1,AFTER
166,1999-05-22-0101,"Les faits qui lui sont [ reprochés ] ont eu lieu le 27 mai 1998 , dans les bois à proximité du fort Dorsner .","Bernard , de Giromagny , [ comparaissait ] hier devant le tribunal correctionnel de Belfort pour deux affaires d'exhibition sexuelle .",5,5,reprochés,comparaissait,0,1,0,BEFORE
167,1999-05-22-0101,"Les faits qui lui sont reprochés ont [ eu ] lieu le 27 mai 1998 , dans les bois à proximité du fort Dorsner .","Bernard , de Giromagny , [ comparaissait ] hier devant le tribunal correctionnel de Belfort pour deux affaires d'exhibition sexuelle .",7,5,eu,comparaissait,0,1,0,AFTER
168,1999-05-22-0101,"Bernard , de Giromagny , [ comparaissait ] hier devant le tribunal correctionnel de Belfort pour deux affaires d'exhibition sexuelle .",Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,5,5,comparaissait,reprochés,1,2,0,BEFORE
169,1999-05-22-0101,"Bernard , de Giromagny , [ comparaissait ] hier devant le tribunal correctionnel de Belfort pour deux affaires d'exhibition sexuelle .",Les faits qui lui sont reprochés [ remontent ] au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,5,6,comparaissait,remontent,1,2,0,VAGUE
170,1999-05-22-0101,"Bernard , de Giromagny , [ comparaissait ] hier devant le tribunal correctionnel de Belfort pour deux affaires d'exhibition sexuelle .",Les faits qui lui sont reprochés remontent au 27 mai 1998 et se sont [ déroulés ] dans les bois proches du fort Dorsner à Giromagny .,5,14,comparaissait,déroulés,1,2,0,BEFORE
171,1999-05-22-0101,Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,Les faits qui lui sont reprochés [ remontent ] au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,5,6,reprochés,remontent,2,2,1,VAGUE
172,1999-05-22-0101,Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,Les faits qui lui sont reprochés remontent au 27 mai 1998 et se sont [ déroulés ] dans les bois proches du fort Dorsner à Giromagny .,5,14,reprochés,déroulés,2,2,1,BEFORE
173,1999-05-22-0101,Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,"Bernard [ affirme ] qu'en se promenant , il a chuté et s ' est retrouvé à terre , la braguette ouverte .",5,1,reprochés,affirme,2,3,0,AFTER
174,1999-05-22-0101,Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,"Bernard affirme qu'en se [ promenant ] , il a chuté et s ' est retrouvé à terre , la braguette ouverte .",5,4,reprochés,promenant,2,3,0,BEFORE
175,1999-05-22-0101,Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,"Bernard affirme qu'en se promenant , il a [ chuté ] et s ' est retrouvé à terre , la braguette ouverte .",5,8,reprochés,chuté,2,3,0,AFTER
176,1999-05-22-0101,Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,"Bernard affirme qu'en se promenant , il a chuté et s ' est [ retrouvé ] à terre , la braguette ouverte .",5,13,reprochés,retrouvé,2,3,0,BEFORE
177,1999-05-22-0101,Les faits qui lui sont [ reprochés ] remontent au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,"Bernard affirme qu'en se promenant , il a chuté et s ' est retrouvé à terre , la braguette [ ouverte ] .",5,19,reprochés,ouverte,2,3,0,EQUAL
178,1999-05-22-0101,Les faits qui lui sont reprochés [ remontent ] au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,Les faits qui lui sont reprochés remontent au 27 mai 1998 et se sont [ déroulés ] dans les bois proches du fort Dorsner à Giromagny .,6,14,remontent,déroulés,2,2,1,BEFORE
179,1999-05-22-0101,Les faits qui lui sont reprochés [ remontent ] au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,"Bernard [ affirme ] qu'en se promenant , il a chuté et s ' est retrouvé à terre , la braguette ouverte .",6,1,remontent,affirme,2,3,0,VAGUE
180,1999-05-22-0101,Les faits qui lui sont reprochés [ remontent ] au 27 mai 1998 et se sont déroulés dans les bois proches du fort Dorsner à Giromagny .,"Bernard affirme qu'en se [ promenant ] , il a chuté et s ' est retrouvé à terre , la braguette ouverte .",6,4,remontent,promenant,2,3,0,BEFORE
